id	category	title_wen	title_eng	title_pol	source
pater_noster	bible	Uraceń Donu	The Lord's Prayer	Modlitwa Pańska	texts1
babel_text	bible	Turz Bable	The Tower of Babel	Wieża Babel	texts1
christ_abgar	bible	Pistle Jezu Chrystu i Abgaru, rzeże Edesie	The epistles of Jesus Christ and Abgarus, king of Edessa	Listy Jezusa Chrystusa i Abgara, króla Edessy	texts1
ecclesiastes	bible	Ecclesiastes (Qohelet) 1:6			texts1
shema	bible	Shema Yisrael (Deuteronomy 6:4)			texts1
northwind	short_stories	Więt Miódnocały i Sul	The North Wind and the Sun	Północny Wiatr i Słońce	texts2
schleicher	short_stories	Schleicher's Tale	The Sheep and the Horses	Owca i konie	texts2
cow	short_stories	Woszka i szep	The cow and the fence	Krowa i ogrodzenie	texts2
wolf	short_stories	Łup i kań	The wolf and the dog	Wilk i pies	texts2
village	short_stories	Wikieł frączeski	The French village	Francuska wioska	texts2
lights	short_stories	Le łymna	Those lights	Tamte światła	texts2
wren	short_stories	Rzeglik	The wren	Strzyżyk	texts2
rushdie	short_stories	Salman Rushdie, “Maga za Floręce” (fragmię)	Salman Rushdie, “The Enchantress of Florence” (fragment)	Salman Rushdie, “Czarodziejka z Florencji” (fragment)	texts2
relay10	relay	Ocięceń: mały nieporłarz!	Beware of the baby!	Uwaga: zły niemowlak!	texts3
relay75	relay	Pistła	A letter	List	texts3
relay8	relay	Klucz o mnościerz	The key to the monastery	Klucz do opactwa	texts3
relay9	relay	Pięzęć dzie iwrzanu	Thinking about winter	Rozmyślania o zimie	texts3
relay11	relay	Przeskrzypceń	A recipe	Przepis	texts3
relay12	relay	Ił gwarda i porła?!			texts3
relay13	relay	Mód kętra trzyścieca iwrzanu	A method against the gloom of Winter	Sposób na zimowy smutek	texts3
relay14	relay	Uraceń pro jekunie i moszkłu, kwali wołą sie szpuzar	Prayer for a woman and a man, who want to get married	Modlitwa dla kobiety i mężczyzny, którzy chcą się pobrać	texts3
relay15	relay	Deskars frudlęci	A fraudulent speech	Przemówienie zakłamane	texts3
ring_poem	poetry	The ring poem			texts4
starling	poetry	Kęt Starnór	The Starlings' Song	Śpiew szpaków	texts4
hen	poetry	From „The Space Child's Mother Goose”, by Frederick Winsor			texts4
womb_dream	poetry	Tekst reliżuzy	Religious text	Tekst religijny	texts4
blessing	poetry	Bieńdzikaceń	Blessing	Błogosławieństwo	texts4
days	poetry	Dzeje siecianie	The days of the week	Dni tygodnia	texts4
hand	poetry	Przędź miej man	Take my hand	Weź mnie za rękę	texts4
voice	poetry	Wucz	A voice	Głos	texts4
old_irish	poetry	Bieńdzikaceń nycała wiekłoirlańka		Staroirlandzkie błogosławienie ślubne	texts4
spheres	poetry	En sferar sprzerzar	In hogere sferen	In hogere sferen	texts4
satyricon	poetry	Satyrykon, 79	Satyricon, 79	Satyricon, 79	texts4
zakochana	poetry	Enjemata	Zakochana	Zakochana	texts4
smile	poetry	Źryz	The smile	Uśmiech	texts4
part	poetry	Parć Ciej...	A part of you...	Część Ciebie...	texts4
labour	poetry	Łoworze przeducie omorze	Love's Labour's Lost	Stracone zachody miłości	texts4
liebende	poetry	Jemęcia skrzywie	The loving one writes	The loving one writes	texts4
psalm	songs	Psalm pro Ciej	Psalm dla Ciebie	Psalm dla Ciebie	texts5
summer_wine	songs	Win ściwy	Summer wine	Letnie wino	texts5
mille_anni	songs	Mille anni passi sunt			texts5
ghost_riders	songs	Kawałarzy Czału	Ghost Riders in the Sky (lit. translation)	Jeźdźcy nieba (tłumaczenie dosłowne)	texts5
sacrum	songs	Sacrum			texts5
lithium	songs	Lic	Lithium	Lit	texts5
feel	songs	Je że cembruz	It's dark already	Jest już ciemno	texts5
lavender	songs	Ławięda	Lavender	Lawenda	texts5
letter	songs	Pistła	Letter	List	texts5
shakira	songs	Z setu twiej wieście	Underneath your clothes	Pod twoim ubraniem	texts5
bezczas	songs	Sieńciępu	Timeless	Bezczas	texts5
hej	songs	Hej, Wenedzi	Hey, Veneds	Hej, Wenedzi	texts5
kawaliniany	world_history	Kód sie ście sie?	What's been happened?	Co się stało się?	texts6
shipwreck	world_history	Historia Moszkłu i łu Nawraje	The Story of the Shipwrecked Man [CR]	Historia Człowieka z Rozbitego Statku	texts6
student	world_history	Za dzejarze studentu	From a student's diary	Z dziennika studenta	texts6
biera	world_history	How to order three beer in Wenedyk?			texts6
dialogue	world_history	Dialog			texts6
caesar	world_history	Julius Caesar — De Bello Gallico			texts6
newsflash	world_history	Newsflash			texts6
declaration	world_history	Dziekłaraceń Uniwersała Drzecór Womnie, Artykuł 1	Universal Declaration of Human Right, Article 1	Powszechna Deklaracja Praw Człowieka, Artykuł 1	texts6
legend	world_history	Legenda dzie Janacie	Legend about Janać	Legenda o Janaciu	texts6
jamie_lynn	world_history	Filica żęciła ku więtrze krosu	The other Spears does the bump	Grzeczna dziewczynka z dużym brzuchem	texts6
dodo	world_history	Oskrzypceń desporłacenie ku Dodo			texts6
nosmoking	world_history				texts6
quotations	misc	Sawie porule Donie Anie Rzenacie Nowicz	Wise words by Mrs. Ana Rzenata Nowicz		texts7
babylon5	misc	Babylon 5 — Three fragments			texts7
petricon	misc	Za Piotrzykonie	From the Petricon	Z „Petriconu”	texts7
spam	misc	Randła ku milionarze	Date a millionaire	Date a millionaire	texts7
spam2	misc	Nie posu krzedzier, kód ił futszy jałtra jekuna	I can't believe he fucked another woman	Nie mogę uwierzyć, że on przeleciał inną kobietę!	texts7
spam3	misc	Jekunina kociesta barała	Female bar contest	Kobiecy konkurs barowy	texts7
spam4	misc	Pauza o obiad sur szedziędu pościcu kotata o taśma	Backseat lunchbreak caught on tape	Przerwa na lunch na tylnym siedzeniu uwieczniona na taśmie	texts7
spam5	misc	Okętra jekunie kwale odzę sie mółczar	Meet with women who hate to cuddle	Spotkaj kobiety, które nie znoszą przytulania.	texts7
carl	misc	Pistła o Karołu	Letter to Carl	List do Karola	texts7
stuff	misc	Christian Thalmann's translation exercise			texts7
translation_exercise_2	misc	Padraic Brown's translation exercise			texts7
translation_exercise_3	misc	Translation exercise 3			texts7
translation_exercise_4	misc	Translation exercise 4			texts7
translation_exercise_5	misc	Translation exercise 5			texts7
translation_exercise_6	misc	Translation exercise 6			texts7
translation_exercise_7	misc	Translation exercise 7			texts7
translation_exercise_8	misc	Translation exercise 8			texts7
goquim_sentences	misc	Goquim sentences			texts7
sentences	misc	Loose sentences			texts7
001	aphorisms	Omórz posa sie ilew, kwali li doną sie posar. [Irl-Ania]	Love happens to those, who make it happen. [Irl-Ania]	Miłość zdarza się tym, którzy dają jej się zdarzyć. [Irl-Ani	sawtacie
002	aphorisms	Lecieca parcita je lecieca dupła, Trzyścieca parcita je trzy	Shared joy is double joy. Shared sorrow is half sorrow. [Irl	Wspólna radość to podwójna radość, wspólny smutek to tylko p	sawtacie
003	aphorisms	Sień omorze rześpieraceń je sięgłamięć urłój dziemiozęci cię	Without love, breath is nothing but a clock ticking away the	Bez miłości oddech jest tylko zegarem odmierzającym czas. [z	sawtacie
004	aphorisms	Wita pocie szer karmię, kędy je jelki prokód kętar ku ciej. 	Life can be a song if there's someone to sing along. [Irl-An	Życie może być pieśnią, jeśli jest ktoś, by śpiewać razem z 	sawtacie
005	aphorisms	Wiortać je siąprz sięgłamięć córa cięprze. [Leonardo da Vinc	The truth is always just a daughter of time. [Leonardo da Vi	Prawda jest zawsze tylko córką czasu. [Leonardo da Vinci]	sawtacie
006	aphorisms	Mąd je bielerzy ka pięzawa. [Żowan Sasomętany]	The world is more beautiful than I thought. [Jan van Steenbe	Świat jest piękniejszy niż myślałem. [Jan van Steenbergen]	sawtacie
007	aphorisms	Jemęci są dziemięci	Lovers are fools	"AMANTES SUNT AMENTES

Kochankowie są szaleni"	sawtacie
008	aphorisms	Womień! Ty piędeł jętar źryz i łokrzyma.	Man! Thou pendulum betwixt a smile and tear. (G.G. Byron)	"(G.G. Byron)

Człowiek! Wahadło pomiędzy uśmiechem a łzą. (G"	sawtacie
009	aphorisms	Poeta, sięgłamięć kap nie iłu.	Poet, just not that head.	Poeta, tylko głowa nie ta.	sawtacie
010	aphorisms	Dziewie ci omiecier, kód wółćmie krzebrzu mie przędzie, kędy	I have to admit that I am being been caught by feelings of d	Musze ci przyznać, że ostatnio częściej mnie bierze, kiedy r	sawtacie
011	aphorisms	Jemęć Cie, jemu oćmy kód mąd dar pocie.	Loving you, I am loving the best the world can give.	Kochając Ciebie, kocham najlepsze, co świat dać może.	sawtacie
012	aphorisms	Omórz dera jotranie. Łu sięgłamięć ludzie się kęblę.	Love is eternal. It's just the people that change.	Miłość trwa wiecznie. To tylko ludzie się zmieniają.	sawtacie
013	aphorisms	Omórz da śpioręca komód radz sule po pływla.	Love comforteth like sunshine after rain. [W. Shakespeare]	"[G. Trammelpila]

Miłość dodaje otuchy jak promień słońca po"	sawtacie
014	aphorisms	Omórz je nud, kwały cenie mąd en wyńtacie.	Love is the knot that keeps the world together.	Miłość jest węzłem, który utrzymuje świat w jedności.	sawtacie
015	aphorisms	Kropu jekunie je komód instrumię jeszczepconały, fole szer w	The body of a woman is an exceptional instrument; one needs 	Ciało kobiety jest jak wyjątkowy instrument, trzeba być wirt	sawtacie
016	aphorisms	Niądź nie kupiesz flictacie, maż omórz da łą gratis.	Happiness you cannot buy anywhere, but love gives it away fo	Nigdzie nie kupisz szczęścia, a miłość daje je gratis.	sawtacie
017	aphorisms	Ku mięcie i mrociołu	With mind and hammer	"MENTE ET MALLEO

Myślą i młotem"	sawtacie
018	aphorisms	Zwierz pro omorze. Odura przekód dole.	Suffer for love. Worship 'till it hurts.	Cierp dla miłości. Czcij ją aż do bólu.	sawtacie
019	aphorisms	Wojna komód wojna, organ rodnarzy, uta strarodnarzemięć wcie	A sheath is a sheath, an ordinary organ, but an extraordinar	Pochwa jak pochwa, zwykly organ, ale niezwykle użyteczny.	sawtacie
020	aphorisms	Kród nie je śrewięci, wojna nie je kalafior. [Irl-Ania]	The heart is not a servant, the vagina is not a cauliflower.	Serce nie sługa, wagina nie kalafior. [Irl-Ania]	sawtacie
021	aphorisms	Przyma rześpieraceń omorze, łu wółćma rześpieraceń rocenie. 	The first breath of love is the last breath of reason. [Korn	Pierwsze westchnienie miłości, to ostatnie westchnienie rozu	sawtacie
022	aphorisms	Okopłaru sie o cie komód jadra.	Just like the ivy I'll cling to you. [A.J. Mills]	"[A.J. Mills]

Przylgnę do ciebie jak bluszcz. [A.J. Mills]"	sawtacie
023	aphorisms	Kośkiny womień ja swa ziścięca surjemata – miecim szy iła ni	Every person has his most beloved creature – even if it does	Każdy człowiek ma swoją ukochaną istotę – nawet jeśli ona ni	sawtacie
024	aphorisms	Wyszek śpieru, śpioru.	As long as I breath, I hope.	"DVM SPIRO, SPERO.

Dopóki oddycham, mam nadzieję."	sawtacie
026	aphorisms	Nękwa nie kwierz, pro kiju bocie dzwon. Ił bocie pro ciej.	Never ask for whom the bell tolls. It tolls for thee. [J. Do	"[J. Donne]

Nie pytaj nigdy, komu bije dzwon. On bije tobie."	sawtacie
027	aphorisms	Omórz je sięgła rzej, kwała krzeszcze, ściępu kędy nu łą pru	Love is the only thing that keeps growing, while we are wast	Miłość jest jedyną rzeczą, która rośnie, podczas gdy my ją t	sawtacie
028	aphorisms	Nie lecze dzieśpiorar.	Nothing to despair.	"NIL DESPERANDVM.

Nie należy rozpaczać."	sawtacie
029	aphorisms	Kędy jekuna lewa sie o czał, łu o siećmy czał. Maż kędy kadz	When a woman ascends to heaven, then she rises into the seve	"[Deotyma]

Gdy kobieta wzniesie się do nieba, to do siódmego"	sawtacie
030	aphorisms	Nękwa nie rzefyza dunu dziewinu, prostokód Dziew ci łu da si	Never refuse a gift from God, because God gives it to you on	Nigdy nie odrzucaj daru od Boga, bo Bóg daje go tylko raz. [	sawtacie
031	aphorisms	Miścierz omorze je mółt mojerzy dzie miścierze mrocie.	The mystery of love is greater than the mystery of life. [Os	"[Oscar Wilde]

Zagadka miłości jest o wiele większa od zagad"	sawtacie
032	aphorisms	Ściądszy ci świe sonia z piedzie; Gradź molemięć, nąk gradzi	I have spread my dreams under your feet; Tread softly becaus	"[W.B.Yeats]

Więc ci rzuciłem marzenia pod stopy; Stąpaj ost"	sawtacie
033	aphorisms	Jemęć wiory je jelki, kwały gwarda drzec par Cie, maż i szyk	A true lover is one who sees through you and still enjoys th	Prawdziwy kochanek to ktoś, kto patrzy poprzez Ciebie, a wid	sawtacie
034	aphorisms	Pro miór soniór twie imażnie, kwała flurze roza en fędór miu	For my dreams of your image that blossoms a rose in the deep	Na obraz twój z moich snów, który mi w sercu zakwita różą. [	sawtacie
035	aphorisms	Enhału ślęca implata par cie. [Żowan Sasomętany]	I breathe in the silence that is filled with you. [Jan van S	Wdycham ciszę napełnioną Tobą [Jan van Steenbergen]	sawtacie
036	aphorisms	Omórz dzieprzędzie roceń ilew, kód łą poszedzę, maż da ilew,	Love takes away reason from those who have it, and give it t	Miłość odbiera rozum tym, co go posiadają, a daje tym co go 	sawtacie
037	aphorisms	Kłartać mięcie kuza ileż kłartać poszenie. Prołu mięć grędzi	Clearness of mind also causes clearness of passion. Therefor	Jasność umysłu powoduje również jasność namiętności. Dlatego	sawtacie
038	aphorisms	Jemar jelkiju łu szynie widziar mierakieł, niewiżybły pro ja	Loving someone means seeing a miracle, invisible for others.	Kochać kogoś to znaczy widzieć cud, niewidzialny dla innych.	sawtacie
039	aphorisms	Kód łu je omórz? Łu jębłaceń ściępu pływle mółt kosiej. Womi	What is love? It is a walk during a very tiny rain. Man walk	Co to jest miłość? To spacer podczas bardzo drobniutkiego de	sawtacie
041	aphorisms	Wiwier szynie wita parcier ku ciej, maż nie szer ku ciej szy	Being alive means sharing my life with you; not being with m	Żyć znaczy życie dzielić z tobą, a nie być z tobą znaczy nie	sawtacie
042	aphorisms	Kostęć jemu źryz en Twór okłór.	I keep loving the smile in your eyes.	Ciągle kocham uśmiech w Twoich oczach.	sawtacie
043	aphorisms	Siąprz si oprzyty pro omorze, maż iła za siej parkołora Ci k	Always be open to love, and it will recolour your heart by i	Bądź zawsze otwartym na miłość, a ona sobą przebarwi Ci serc	sawtacie
044	aphorisms	Miej dom je jądź, wądź jesz Ty – Ania. [Żowan Sasomętany]	My home is there, where you are are – Ania. [Jan van Steenbe	Mój dom jest tam, gdzie jesteś Ty – Ania. [Jan van Steenberg	sawtacie
045	aphorisms	Szekł nie procieże prze omorze, po łu omórz procieże prze wi	Age doesn't protect against love, however, love protects aga	Wiek nie chroni przed miłością, za to miłość chroni przed st	sawtacie
046	aphorisms	Sięgłamięć womień, kwały jemie, morze komód womień. [Antoine	Only a person who has loved, dies like a human person. [Anto	Tylko człowiek, który kochał, umiera jak człowiek. [Antoine 	sawtacie
047	aphorisms	Cześć je omórz. Dwu ludzie okętrą sie oszczydziętalemięć, ma	Such is love. Two people meet by accident, and then it turns	Oto jest miłość. Dwoje ludzi spotyka się przypadkiem, a okaz	sawtacie
048	aphorisms	Komód nie ja sparacenie, nie ja dłuczytydnie okętracenie. [H	If there is no separation, there is not the sweetness of mee	Jeśli nie ma rozłąki, nie ma słodyczy spotkania. [Hafiz]	sawtacie
049	aphorisms	Szer pocie pro mędu jesz sięgłamięć womień, uta pro niekwałó	Perhaps for the world you are just a person, but for some pe	Być może dla świata jesteś tylko człowiekiem, ale dla niektó	sawtacie
050	aphorisms	Dzeje sień ciej, łu dzeje sień półzu krodzie...	Days without you are days without heartbeat...	Dni bez ciebie, to dni bez bicia serca...	sawtacie
051	aphorisms	Szer enjematy, łu szer rotaty piara sięzar sanór. [Owidz]	To be in love means to be crazy with your senses healthy. [O	Być zakochanym, to być szalonym przy zdrowych zmysłach. [Owi	sawtacie
052	aphorisms	Li, kwali jemą, suli si ofromą sonia. [Wierżyl]	Those who love create their own dreams. [Virgil]	Ci, którzy kochają, sami sobie kształtują sny. [Wergiliusz]	sawtacie
053	aphorisms	Maż kędy cie bażaru, trze dzeje en buszcze cukier sięce. [Je	But after kissing you, I taste sugar in my mug for three day	A kiedy cię pocałuję, trzy dni w gębie cukier czuję. [Jan Ko	sawtacie
054	aphorisms	Omórz je froca flara. Kędy ciętamy łą enwrzenier, dziewora n	Love is a wild force. When we try to curb it, it devours us.	Miłość jest dziką siłą. Kiedy próbujemy ją okiełznać, pożera	sawtacie
055	aphorisms	Omórz wienie sur dzieżdór, maż zwadzie kłopęć ku uszcze.	Love comes on tiptoe, but leaves slamming the door.	Miłość przychodzi na palcach, a wychodzi trzaskając drzwiami	sawtacie
056	aphorisms	Tut, kód widziemy u siębłamy je sięgłamięć soń niętra sonie.	All we see or seem is but a dream within a dream. [W. Shakes	Co widzimy, co się zdaje, snem we śnie wciąż pozostaje. [W. 	sawtacie
057	aphorisms	Omórz nie ja szekłu i kostęć sie noszcze. [B. Pascal]	Love is ageless and in a constant state of being born. [B. P	Miłość nie ma wieku i wciąż się rodzi. [B. Pascal]	sawtacie
058	aphorisms	Omórz więcze tut. [Wierżyl]	Love conquers everything. [Virgil]	"OMNIA VINCIT AMOR [VERGILIUS]

Miłość zwycięża wszystko [Wer"	sawtacie
059	aphorisms	Jemęć Ciej ileż komięce jemar sie. [Żowan Sasomętany]	Loving you I start loving myself as well. [Jan van Steenberg	Kochając Ciebie zaczynam również kochać siebie. [Jan van Ste	sawtacie
060	aphorisms	Szyk faczeł je Cie jemar. [Irl-Ania]	It's so easy loving you. [Irl-Ania]	Tak łatwo jest Cię kochać. [Irl-Ania]	sawtacie
061	aphorisms	Omórz je dzieszyderz, prokód jelkiej jelkód dar, maż nie rze	Love is the desire to give something to someone, not to rece	Miłość jest pragnieniem, aby coś komuś dawać, a nie otrzymyw	sawtacie
062	aphorisms	Kędy ludzie jemą wyniałtru, łu dęć rzeczeplę, maż rzeczeplęć	When people love one another, they receive while giving and 	Kiedy ludzie się kochają nawzajem, to dając otrzymują, a otr	sawtacie
063	aphorisms	Dziew zuszkiełta iłór, kwali przeką fowórz obliszczędu pro o	God listens to those, who beg for the favour of being forgot	Bóg wysłuchuje tych, którzy błagają o łaskę zapomnienia dla 	sawtacie
064	aphorisms	Prze miu omorze włomęciu nyły demon ciej nie sałwarzy. Prze 	From my burning love no demon will save you. From my burning	Von meiner brennenden Liebe kann dich kein Dämon erlösen. Vo	sawtacie
065	aphorisms	Sięgłamięć womień fliczy pocie jeradzar flictać czerek. [Pau	Only a happy person can radiate with happiness. [Paulo Coelh	Jedynie człowiek szczęśliwy może promieniować szczęściem wok	sawtacie
066	aphorisms	Sięgłamięć niekędy flictać je dun. Krzebrześmie fole po łą ł	Happiness is a gift only sometimes. In most cases it must be	Tylko niekiedy szczęście bywa darem. Najczęściej trzeba o ni	sawtacie
067	aphorisms	Sień ciej sięce sie sięgłamięć dzimiedza siej. [Żowan Sasomę	Without you I feel I'm only half of myself. [Jan van Steenbe	Bez ciebie czuję się tylko połową siebie. [Jan van Steenberg	sawtacie
068	aphorisms	Mośma flictać en wicie łu czartańtać, kód sumy jemacie za rz	The greatest happiness in live is the certainty that we are 	Największe szczęście w życiu to pewność, że jesteśmy kochani	sawtacie
069	aphorisms	Dziew dziemiecie, Nowicz nękwa. [Przemysław Nowicz]	God forgives, Nowak never does. [Przemysław Nowak]	Bóg przebacza, Nowak nigdy. [Przemysław Nowak]	sawtacie
070	aphorisms	Dołórz sie pocie desprzeżer i moler par łokrzymie. [Owidz]	Pain can be shattered and relieved by tears. [Ovid]	Ból można rozpraszać i uśmierzać przez łzy. [Owidiusz]	sawtacie
071	aphorisms	Irl-Ania łu/łą oszczydszerzy komód ił/ła ciętarzy kódkąk! [I	Irl-Ania will kill him/her if he/she tries anything! [Irl-An	Irl-Ania zabije go/ją jeśli on/ona spróbuje czegokolwiek! [I	sawtacie
072	aphorisms	Pro jekunie omórz je wartyć i pskamię, reliżeń i jegradzik.	For a woman love is a virtue and a sin, a religion and an of	Dla kobiety miłość jest cnotą i grzechem, religią i występki	sawtacie
073	aphorisms	Szy gwardasz rzetry o swa wita, parswadziesz sie, kód sięgła	If you look back at your life, you will convince yourself th	Jeśli spojrzysz wstecz na swoje życie, przekonasz się, że ty	sawtacie
074	aphorisms	Jewnia jekuna je pro moszkłu wieszczerzu kawał, sur kwału ił	A young woman is for an older man the horse, on which he rid	Młoda kobieta jest dla starego mężczyzny koniem, na którym j	sawtacie
075	aphorisms	W twej jematórz nękwa nie dzieprotarzy emprzeszenie, kód nie	Your lover should never get the impression that he does not 	Niech twój kochanek nigdy nie odniesie wrażenia, że nie ma i	sawtacie
076	aphorisms	Historia omorze je historia śpieczeje wymaniej.	The history of love is the history of the human kind.	Historia miłości jest historią rodu ludzkiego.	sawtacie
078	aphorisms	Płerześmie przecezie duna są ile, kwałór wałórz przędzie sie	The most precious gifts are always those, which owe their va	ACCEPTISSIMA SEMPER MUNERA SUNT, AUCTOR QUAE PRETIOSA FACIT.	sawtacie
079	aphorisms	Jema i si jematy, prostokód sięgłamięć sur tałór łatrzy rodn	Love and be loved, as only on that kind of wings an ordinary	Kochaj i bądź kochanym, gdyż tylko na takich skrzydłach zwyk	sawtacie
080	aphorisms	Omórz je siąprz jądź, wądź wółmy kód si... [Bartolomea]	Love is always where we want it to be... [Bartolomea]	Miłość jest wszędzie tam, gdzie chcemy by była... [Bartolome	sawtacie
082	aphorisms	Jemar jelkiju, łu prze tutu parmiecier iłu, kód si, kwały je	To love somebody means above all to allow him to be who he i	Kochać kogoś, to przede wszystkim pozwalać mu na to, żeby by	sawtacie
083	aphorisms	Łabia bażacie nie przodą szarmu, uta rzenową sie komód łyna.	Lips, when kissed, do not loose their charm, but are renewed	Usta całowane nie tracą uroku, ale odnawiają się jak księżyc	sawtacie
084	aphorisms	Omórz łu dwie sultydnie, kwale enkętrą sie i sprotą mytwalem	Love is two lonelinesses, who meet and support each other.	Miłość to dwie samotności, które spotykają się i nawzajem ws	sawtacie
085	aphorisms	Jarz, łymię, puza saniewką, uta mojerza leniewkaceń włyje za	Air, light, and rest make healthy, but the greatest comfort 	Powietrze, światło, odpoczynek uzdrawiają, lecz największe u	sawtacie
086	aphorisms	Jekuna en jałbatku łu pornografia. Jekuna nyda łu bieltać. [	A woman in her underwear is pornography. A naked women is be	Kobieta w bieliźnie to pornografia. Naga kobieta to piękno. 	sawtacie
087	aphorisms	Omórz więcze en jekunie sem pudorze – owieżła rogultać fiemi	Love makes a woman overcome her shame – it evokes female pri	Miłość zwycięża w kobiecie wstyd – budzi dumę kobiecości. [H	sawtacie
088	aphorisms	Jemu cie, nąk jęgry Tutomąd fawurze mie en iłu, kód posi opi	I love you because the whole universe conspired for me to co	Kocham cię, bo cały Wszechświat sprzyjał mi w tym, bym mógł 	sawtacie
089	aphorisms	Tut iłu, kód toszka omórz, dziewienie niemrotały. [Romain Ro	Everything that has been touched by love becomes immortal. [	Wszystko to, czego dotknie miłość, staje się nieśmiertelne. 	sawtacie
090	aphorisms	Omórz je łatu, kwały Dziew donie womni, prokód ił posi surwo	Love is the wing, which God has given to man in order to be 	Miłość jest skrzydłem, które Bóg dał człowiekowi, aby ten mó	sawtacie
091	aphorisms	Jemar łu oskrodar się dzie łu, prokód wiekłaszczer ku siekąd	Love is agreeing to grow old with another human being. [Kare	Kochać to zgadzać się na to, by się starzeć z drugim człowie	sawtacie
092	aphorisms	Omórz przewie suła si. Kędy rzekupra jelkwały kród, koczętra	Love is self-sufficient. When it seizes some heart, it gathe	Miłość wystarcza sama sobie. Gdy zawładnie jakimś sercem, sk	sawtacie
093	aphorisms	Nił, wiortablemięć nił nie da wałorze wici forzy omorze. [Di	Nothing, really nothing is worth being lived for but love. [	Nic, naprawdę nic nie jest warte życia oprócz miłości. [Diet	sawtacie
094	aphorisms	Omórz je jelkód fierzmieśmy sur mędu, maż otamię nie pocie s	Love is one of the strongest things on Earth, and yet, one c	Miłość jest czymś najmocniejszym na świecie, a jednak nie mo	sawtacie
095	aphorisms	Mąd sień omorze je mąd mroty i siąprz owienie ura, kędy womi	A world without love is a dead world, and the hour will alwa	Świat bez miłości jest martwym światem i zawsze przychodzi g	sawtacie
096	aphorisms	Koju pły śpieczej je śroza, iłu pły źryz je biały. [François	The more serious the face, the more beautiful the smile. [Fr	Plus le visage est sérieux, plus le sourire est beau. [Franç	sawtacie
097	aphorisms	Enjematy je komód womień en słuwie – enśpiecy en wyna jarber	Being in love is like being in the forest – fixed on one tre	Zakochany jest jak człowiek w lesie – zapatrzony w jedno drz	sawtacie
098	aphorisms	Ciępór fole porłar o jekuna en oskrodu ku lej jekunińtacie, 	Sometimes you must talk to a woman in accordance with her fe	Trzeba czasem mówić do kobiety zgodnie z jej kobiecością, a 	sawtacie
099	aphorisms	Ferz da dzilec: pieniądze u wita; jekuna postła jębór owiecz	Brigands demand your money or your life; women require both.	Złodziej daje wybór: pieniądze albo życie; kobieta żąda obu 	sawtacie
100	aphorisms	Kosa dziewienie włoma omorze en krodzie jekunie, tost rześpi	Tiny becomes the flame of love in a woman's heart, once cons	Znikomym staje się płomień miłości w sercu kobiety, skoro wz	sawtacie
