id	category	title_wen	title_eng	title_pol	source
101	aphorisms	Omórz nie ja krodzie, dąk dziewie za womnie złaczrar łu prop	Love has no heart of its own, therefore it must rip it out f	Miłość nie ma serca, więc musi z człowieka wydrzeć jego włas	sawtacie
102	aphorisms	Szatan i Kupidzień są koleży, kwale ją jesiem en szukędu lud	Satan and Cupid are friends, looking together for people who	Szatan i Kupidyn są kolegami, którzy idą razem w poszukiwani	sawtacie
103	aphorisms	Jemar i szer jematy łu szyk, komód si za jębar kosztar kales	To love and be loved is to feel the sun from both sides. [Dr	Kochać i być kochanym to tak, jakby z obu stron grzało nas s	sawtacie
104	aphorisms	Szy ceniesz omórz trów niefierzm, dziewoła; szy łu embrocasz	If you hold love too loosely then it flies away; if you hold	Jeśli trzymasz miłość zbyt słabo, odleci; jeśli ją ściśniesz	sawtacie
105	aphorisms	"Szy nostrze omorze są wyn, u jemamy
sie sięblemięć, ty i jo,"	If our two loves be one, or thou and ILove so alike that non	"Gdy więc miłość w nas jedna – bo ty i ja przecie

jednako si"	sawtacie
106	aphorisms	Bieleśmy za tutór sulór łycze pro miej en noce. Ił sul jesz 	The most beautiful of all suns shines for me during the nigh	Najpiękniejsze ze wszystkich słońc świeci dla mnie nocą. Tym	sawtacie
107	aphorisms	Omórz je dzieszyderz jelkwiniej jani. [Stanisław Dygat]	Love is desiring someone's soul. [Stanisław Dygat]	Miłość jest pożądaniem czyjejś duszy. [Stanisław Dygat]	sawtacie
108	aphorisms	Omórz je łu sas kary, nieoprzecaty, uta sień nyłu kołorze i 	Love is a precious stone, invaluable, but without any colour	Miłość jest to kamień drogi, nieoceniony, ale bez żadnej bar	sawtacie
109	aphorisms	Kośkiny enjematy je poeta. [Płatuń]	Everone in love is a poet. [Plato]	Każdy zakochany jest poetą. [Platon]	sawtacie
110	aphorisms	En reumatyka i omórz wiory krzedzie sie oprzymu tęk, kędy je	In reumatism and true love one starts believing only then, w	W reumatyzm i prawdziwą miłość wierzy się dopiero wtedy, gdy	sawtacie
111	aphorisms	Jemu Żowanu (szczycie kiju). [Irl-Ania]	I love Jan (you know whom). [Irl-Ania]	Kocham Jana (wiecie kogo). [Irl-Ania]	sawtacie
112	aphorisms	Nie ja niłu faczylerzu ka mutąd jekuna miedzana en strarodna	Nothing is easier than changing an average woman into an ext	Nie ma nic łatwiejszego, niż zmienić kobietę przeciętną w wy	sawtacie
113	aphorisms	Bień je, kaniesęgień, maż ki dziczerzy, kód nie, łu en probo	It is good, dammit, and whoever says it's not should be punc	Dobrze jest, psiakrew, a kto powie, że nie, to go w mordę. [	sawtacie
114	aphorisms	Omórz – łągwiestać po wyniewkaceń jotrzana ku siekądziej prz	Love – the desire to be one with another person forever. [Pl	Miłość – tęsknota za wiecznym zjednoczeniem z drugą osobą. [	sawtacie
115	aphorisms	Kośkiny za nosz je libier sęginy. Wądźkąk sie nosz oprerzy, 	Everybody is a book of blood; wherever we're opened, we're r	Każdy z nas jest krwawą księgą. Gdziekolwiek się nas otworzy	sawtacie
116	aphorisms	Flictać sie pocie jęwnier miecim en mnieśmu graniku sobłu. [	Happiness can be found even in the smallest grain of sand. [	Szczęście można znaleźć nawet w najmniejszym ziarenku piasku	sawtacie
117	aphorisms	Kędy womień je enjematy, przezięta sie mędzi tały, kwały dzi	When a person is in love, he shows himself to the world the 	Kiedy człowiek jest zakochany, ukazuje się światu takim, jak	sawtacie
118	aphorisms	Jemaszcząd sułu siej je orzydzień romansu o tuta wita. [Osca	To love oneself is the beginning of a life-long romance. [Os	Pokochanie samego siebie jest początkiem romansu na całe życ	sawtacie
119	aphorisms	Kółka mie sur swej kród komód szeł, kółka mie sur swa szpatł	Set me as a seal on your heart, as a seal on your arm for lo	Połóż mnie na swym sercu jak pieczęć, połóż mnie na swym ram	sawtacie
120	aphorisms	Omórz sie pocie złaczrar za krodzie sięgłamięć ku sęgnie i k	Love can be ripped out of the heart only with flesh and bloo	Miłość można wyrwać z serca tylko z krwią i z mięsem, o ile 	sawtacie
121	aphorisms	Niekwali po kadziąd krzepyskłu nie posą że krzedzier en sul.	After the dusk some people cannot believe in the sun anymore	Niektórzy po zapadnięciu zmroku już nie potrafią uwierzyć w 	sawtacie
122	aphorisms	Okętrąd cie jora fat, omiczyca ku ciej dzilec, uta sur jemas	Meeting you was fate, becoming your friend was a choice, but	Spotkanie ciebie było przeznaczeniem, przyjaźń z tobą wybore	sawtacie
123	aphorisms	Szy sie gwarda jęsiem en męć, czał oprośma [Phill Bosmans]	If you look up together, heaven draws closer. [Phill Bosmans	Jeśli patrzy się razem w górę, niebo się przybliża. [Phill B	sawtacie
124	aphorisms	Ania jora bieleśma jekuna, kwała kędykąk widszerzymy. Kwałyk	Ania was the most beautiful woman we had ever seen. Any man 	Ania była najpiękniejszą kobietą, jaką kiedykolwiek widzieli	sawtacie
125	aphorisms	Jotrzeńtać pocie nie szer przewięć łąga pro nostrzu omorze. 	Forever may not be long enough for our love. [Live]	Wieczność może nie być wystarczająco długa dla naszej miłośc	sawtacie
126	aphorisms	Nieki nie anice komód Anica. [JvS]	Nobody annies like Annie. [JvS]	Nikt nie ankuje jak Anka. [JvS]	sawtacie
127	aphorisms	Komód wisz szer jematy, si jemabły. [Owidz]	To be loved, be loveable. [Ovid]	"UT AMERIS, AMABILIS ESTO. [OVIDIUS]

Jeśli chcesz być kochan"	sawtacie
128	aphorisms	Mąd sie kęble, sul oszczedzie, maż jekwiała sie finie [Jędrz	The world is changing, the sun goes down, and the vodka is a	Świat się zmienia, słońce zachodzi, a wódka się kończy. [And	sawtacie
129	aphorisms	Szy sięgły łok, wądź posu cie widzier, si en miór suniór, dr	If the only place where I could see you was in my dreams, I'	Gdyby jedyne miejsce, gdzie mogę cię ujrzeć, istniało tylko 	sawtacie
131	aphorisms	Cogito ergo ZUM – Pięzu, dąk ZU. [Jędrzej Sapiczyny]		Cogito ergo ZUM – Myślę, więc JEZDEM. [Andrzej Sapkowski]	sawtacie
132	aphorisms	Mośma wółtać nie je suł seks, uta poszeń, kwała li okąpanie.	The greatest lust is not sex itself, but the passion that go	Największą rozkoszą nie jest sam seks, ale pasja, która mu t	sawtacie
133	aphorisms	Włyję onie komód wędzie, jekwa o swa fęć nie wrzecie. File, 	Years pass by like water, always forward, never back. Even t	"Płyną lata jako fale, nie wraca woda do źródła. 
Kobiety, co"	sawtacie
134	aphorisms	Włomu, maż sie nie zjardze.	I am on fire, but not burning up.	"FLAGRO NON CONSUMOR.

Płonę, ale się nie spalam."	sawtacie
135	aphorisms	Posu rzesistar tuci forzy ciętacenie. [Oscar Wilde]	I can resist anything but temptation. [Oscar Wilde]	Mogę się oprzeć wszystkiemu poza pokusą. [Oscar Wilde]	sawtacie
136	aphorisms	Omórz wiortabły: rzeć olegaceni, gratlęć kwalej womień moter	True love: a web of allegiances that help man grow mature. [	Miłość prawdziwa: sieć powiązań, dzięki którym człowiek dojr	sawtacie
137	aphorisms	Sięgłamięć woszka nie kęble opinieni. [prowrzeb wenedki]	Only a cow does not change its views. [Polish proverb]	Tylko krowa nie zmienia poglądów. [przysłowie polskie]	sawtacie
138	aphorisms	Omórz je molaca kontażuza: nieki nie szczyje, kędy iłu leż k	Love is an infectious illness: nobody knows, when it will ca	Miłość jest chorobą zaraźliwą: nikt nie wie, kiedy jego też 	sawtacie
139	aphorisms	Czarle okle ją o czała, grzysie ją o paradyz, okle wierdzie 	Blue eyes go to heaven, grey eyes to paradise, green eyes go	Les yeux bleus vont aux cieux, les yeux gris au paradis, les	sawtacie
140	aphorisms	En dzimiedze rucie wicie wymaniej en fędu ośkierzej jęwieńsz	In the middle of our life's walk I found myself in a dark wo	W połowie drogi ludzkiego żywota w głębi ciemnego znalazłem 	sawtacie
141	aphorisms	Jęwieńszy brakęcia kopła jętar sprzerza szymla i womnie czyw	I have found the missing link between the higher ape and civ	Znalazłem brakujące ogniwo pomiędzy naczelnym i człowiekiem:	sawtacie
142	aphorisms	Roza siębła mrzydze en maje. [Chanson de geste]	A rose she seems in a morning in May. [Chanson de geste]	"La rose samble en mai la matinee. [Chanson de geste]

Różą s"	sawtacie
143	aphorisms	Dłuczy narkotyku, nemież szczyjesz: szer Twa jekuna – dłucza	Sweet drug, don't you know: to be your woman – a sweet death	Słodki narkotyku, przecież wiesz: być Twoją kobietą – słodka	sawtacie
144	aphorisms	Łu Ci promiotu, miej surjematy: odądźkąk Ty jerzysz jer, jo 	This I promise you, my beloved: wherever you will go I shall	To Ci przyrzekam, mój ukochany: dokądkolwiek się udasz, podą	sawtacie
145	aphorisms	Fieczyś si lec niętra miej kród i odykszyś jądź pacz, miej k	You made your bed inside my heart and brought peace there, m	Sie itse syämeeni sijasit ja rauhan rakkahin rakensit, sytyt	sawtacie
146	aphorisms	Wieszczorą sie komód rocie pro oprzycenie kanału.	They dressed up like rats for the opening of a canal.	Wystroili się jak szczury na otwarcie kanału.	sawtacie
147	aphorisms	Nieki forzy łynie jarżęciej nie widzie mie. [Enrique Iglesia	No-one sees me, but a silver moon. [Enrique Iglesias]	Nikt mnie nie widzi, oprócz srebrnego księżyca. [Enrique Igl	sawtacie
148	aphorisms	Karześma omica, szyk je ku nosz: niec ty sień miej, niec jo 	My fair lady, thus it is with us: nor you without me, nor I 	Bele amie, si est de nus: ne vus sans mei, ne jo sans vus. [	sawtacie
149	aphorisms	Dwusprzedzieśma mieź posa... maż jo trąć molata za omorze! [	Month #12 is passing by... and I'm still sick with love! [Ir	Dwunasty miesiąc mija... a ja wciąż chora z miłości! [Irl-An	sawtacie
150	aphorisms	Omórz łu nie stoń, en kwału sie siąprz pocie jęwnier swa ima	Love is not a pond, in which you can always see your own ima	Miłość to nie staw, w którym mozna zawsze znaleźć swoje odbi	sawtacie
151	aphorisms	Fryce krzeszczę en łymnie sule, ludzie otamię en łymnie omor	Fruits grow in the light of the sun, people in the light of 	Owoce dojrzewają w świetle słońca, ludzie zaś w świetle miło	sawtacie
152	aphorisms	Kód je omórz? En kąt jo szczyje, je łu kombinaceń poszenie, 	What is love? As far as I can tell, it is passion, admiratio	Czym jest miłość? O ile wiem, jest to kombinacja namiętności	sawtacie
153	aphorisms	Omórz łu molaca kółkęcia o lec en parar.	Love is a disease that ties people to their beds in pairs.	Miłość to choroba kładąca parami do łóżka.	sawtacie
154	aphorisms	Jemar łu flictać. Szer jemata łu grądtać jekunie. [Jadwiga W	Loving is happiness. Being loved is the greatness of a woman	Kochać to szczęście. Być kochaną to wielkość kobiety. [Jadwi	sawtacie
155	aphorisms	Żowik rzewieńszy! Fiń celibatu! [Irl-Ania]	Johnny is back! Celibate is over! [Irl-Ania]	Janek wrocił! Koniec celibatu! [Irl-Ania]	sawtacie
156	aphorisms	Mia wita je splęda, miej omórz je pery. Widszy aniołu, iłu s	My life's brilliant, my love is pure. I saw an angel, of tha	Moje życie jest wspaniałe, moja miłość jest czysta. Ujrzałam	sawtacie
157	aphorisms	Nie dzieszydru mółt sur Ścielica, je sięgłamieć wyna rzej, k	I don't want a lot for Christmas, there's just one thing I n	Nie pragnę wiele na Gwiadzkę, jest tylko jedna rzecz, której	sawtacie
158	aphorisms	Oszczydziem sul, prokódsi ła noc sie nękwa nie finier... [Ir	Let's kill the sun, so that this night will never end... [Ir	Zabijmy słońce, żeby ta noc nigdy nie dobiegła końca... [Irl	sawtacie
159	aphorisms	Odzej en noce onwalica okunieszczędu. Łu tęk tut się komięcy	Tonight is the anniversary of our acquaintance. That was whe	Dziś w nocy rocznica poznania. To wtedy się wszystko zaczęło	sawtacie
160	aphorisms	Mośma fam jenie wymaniej łu szer koprzęduty.	The deepest hunger of the human soul is to be understood.	Największy głód ludzkiej duszy to być zrozumianym.	sawtacie
161	aphorisms	Wołu gratłar Ci po omórz... I uru dzie postrór onór jęsiem. 	I want to thank you for your love... And I am praying for th	Chcę podziękować Ci za miłość... I modlę się o następne lata	sawtacie
162	aphorisms	Wień zanowu en le brocza i kółka swej kropu. Je enmiedz łu k	Come into these arms again and lay your body down. There is 		sawtacie
163	aphorisms	Ja koszczęca mółt niepera, kędy gwardu o cie, jematy. [Irl-A	I have a very unclean conscience when I'm looking at you, my	Mam bardzo nieczyste sumienie, kiedy patrzę na ciebie, kocha	sawtacie
164	aphorisms	Inteliżęca je komód włymię – koju je profędzierzy, iłu mień 	Intelligence is like river – the deeper it is, the less nois	Inteligencja jest jak rzeka – im jest głębsza, tym mniej rob	sawtacie
165	aphorisms	Taczęci nie szynie sawi – są szafie fierzmacie sur klucz wól	Silence does not necessarily mean wisdom – some cupboards ar	Milczący nie znaczy mądry – są szafy zamknięte na klucz choć	sawtacie
166	aphorisms	Docz sie uszkiełtar – szansa puka ciępór mółt ślęć...	Learn how to listen – sometimes chance knocks very silently.	Naucz się słuchać – szansa puka czasami bardzo cicho...	sawtacie
167	aphorisms	Bonanoc, ściele, kuniesku łymię kłarzerzy dzie wosz – łu ił.	Good night, stars, I know a brighter light than you – it's h	Dobranoc, gwiadzdy, znam jaśniejsze światło od was – to on. 	sawtacie
168	aphorisms	Dzarnu karpica, choinica, prezencie i Żowan – przeskrzypceń 	Tomorrow carp, a Christmas tree, presents and Jan – the reci	Jutro karpik, choinka, prezenty i Jan – przepis na wymarzone	sawtacie
169	aphorisms	Enwitu tucie bonie janiele – odzej je Ścielica miej wicie! [	I am inviting all good angels – today is the Christmas Eve o	Zapraszam wszystkie dobre anioły – dziś jest Gwiazdka mojego	sawtacie
170	aphorisms	En fiostar wółćmar dziedonie ci kród, maż postru onu trąć je	Last Christmas I gave you my heart, and the very next year w	W ostatnie święta oddałam ci serce, a następnego roku wciąż 	sawtacie
171	aphorisms	Oczędszoru kród twej ku swu baże, jo wołu, kód nosz embrocze	I will set your heart afire with my kiss, I want us to be su	Zapalę serce twoje swoim pocałunkiem, ja chcę, by nas ogarną	sawtacie
172	aphorisms	Moszkieł ideały – nieposibły? Utaż posibły! Kuniesku tału! [	The ideal man – impossible? But no, possible! I know one of 	Mężczyzna idealny – niemożliwe? Ależ możliwe! Znam takiego! 	sawtacie
173	aphorisms	Szy bień si, kędy si śpiędzier ła noc, szęć jemata par cie? 	Would it be all right if I spent tonight being loved by you?	Czy byłoby dobrze/w porządku, gdybym spędziła tę noc, będąc 	sawtacie
174	aphorisms	Rzyki nie je ił, ki poszedzie płerześmie, uta ił, ki ofole m	Rich is not he who owns the most, but he who needs the least	Nie jest bogaty ten, kto ma najwięcej, ale ten, kto potrzebu	sawtacie
175	aphorisms	Rzemańszorą nów sięgłamięć dwu dzeje... Uta jo nemię nie kąt	Only two days left... But after all, I don't count. :-( [Irl	Zostały nam tylko 2 dni... Ale ja przecież nie liczę. :-( [I	sawtacie
176	aphorisms	Nie joru dromier, nie posu rześpierar przekód jec puzasz ku 	I won't sleep, I can't breathe untill you're resting here wi	Nie będę spać, nie mogę oddychać dopóki nie odpoczniesz tu z	sawtacie
177	aphorisms	Śpiecu sur Żowiku sur Skype i GG. Szy jelki łu widszy? [Irl-	I'm waiting for Jan on Skype and GG. Has anybody seen him? [	Czekam na Janka na Skype i GG. Czy ktoś go widział? [Irl-Ani	sawtacie
178	aphorisms	Dzej sie ścięgwie, powiecz ściele mi splędzieszczę. O, szy k	The day comes to an end, soon the stars will shine to me. Oh	Przygasa dzień, wnet gwiazdy mi zabłysną. O, gdybym z tobą b	sawtacie
179	aphorisms	Ku okłór Twie szekwu pypile – dwu łacze szafirze i dwie miśc	With my eyes I try to catch your pupils – two sapphire lakes	Oczami Twe ścigam źrenice – dwa szafiru jeziora i dwie tajem	sawtacie
180	aphorisms	Nie dzicz nił. Omórz oszczatu sięgłamięć par buszka. [Lila L	Don't say anything. I take love only mouth-to-mouth. [Lilla 	Nie mów nic. Miłość przyjmuję tylko doustnie. [Lilla Latus]	sawtacie
181	aphorisms	Odze ściele, prostokód gwardu o le sule, kód ty, uta sień ci	I hate the stars, because I look at same ones as you do, wit	Nienawidzę gwiazd, ponieważ patrzę na te same, co ty, ale be	sawtacie
182	aphorisms	Kiełmię fidycze? Kędy dasz jelkiej swej kród en wyn man, en 	The summit of confidence? That is when you give someone your	Szczyt zaufania? Kiedy dajesz komuś swe serce do jednej ręki	sawtacie
183	aphorisms	Rzej womnie je łucar. Rzej dziejór – dar wicurza. [Homer]	Fighting is a thing of people. Giving victory a thing of the	Rzeczą człowieka jest walczyć. Rzeczą bogów – dać zwycięstwo	sawtacie
184	aphorisms	Kędy kurzmy po flictać, ła fyże komód popleń, uta ośpiecata 	Happiness is like a butterfly, which, when pursued, is alway	Gdy gonimy za szczęściem, ono umyka jak motyl, ale oczekiwan	sawtacie
185	aphorisms	Su enjemata en Żowanu! [Irl-Ania]	I'm in love with Jan! [Irl-Ania]	"Ik ben verliefd op Jan! [Irl-Ania]

Jestem zakochana w Janie"	sawtacie
186	aphorisms	Maż stawiecz, stęć jec sur rzypie nowu komięcemiętu i dziest	And now that I am standing here, on the verge of a new begin	En nu ik hier dan sta aan de rand van een nieuw begin en de 	sawtacie
187	aphorisms	Omórz rzeże swej rzeń sień szpadzie i wyniewka sień kocionar	Love rules its kingdom without sword and unites without chai	Miłość rządzi swoim królestwem bez miecza i jednoczy bez łań	sawtacie
188	aphorisms	Odoru szer skrzyptórz. Łu sięgły opu papierzy, kwały posu to	I love being a writer. It's the only paper work I can stand.	Uwielbiam być pisarzem. To jedyna robota papierkowa, jaką mo	sawtacie
189	aphorisms	Baż łu kwierzer sie etaże mętanu, szy walany je o okupąd.	A kiss is like asking the upper floor whether the lower floo	Pocałunek to zapytanie się górnego piętra, czy dolne jest do	sawtacie
190	aphorisms	Krodza parplacie ku omorze nękwa łoniąc dzie siej nie dziewa	Hearts that are filled with love will never move away too fa	Serca przepełnione miłością nigdy daleko od siebie nie odejd	sawtacie
191	aphorisms	Sparaceń osłabie siętmię miedzekrzy, maż ofroce grędzi, komó	Mediocre feelings are weakened by separation, strong feeling	Rozłąka osłabia mierne uczucie, a wzmaga wielkie, jak wiatr 	sawtacie
192	aphorisms	Omórz, mroć i diareje – siąprz nieośpiecacie rzeje.	Love, death and diarrhoea always come unexpectedly.	Miłość, śmierć i sraczka przychodzą znienacka.	sawtacie
193	aphorisms	Omórz je niewła, kwała krzeje sie en kapcie. Szy iwiała niew	Love is a mist that builds up in your head. When it subsides	Miłość jest mgłą, która wytwarza się w głowie. Jeśli owa mgł	sawtacie
194	aphorisms	Omórz ja faczej wierżenie, wywierz mocice, maż jarmatera ryc	Love has the face of a virgin, the breast of a mother, and t	Miłość ma lice dziewicy, pierś matki, a zbroje rycerza. [Z. 	sawtacie
195	aphorisms	Bieleśma dzimiedza wicie przedzie womień, kwały nie jemawa p	A person, who never loved passionately, loses the most beaut	Najpiękniejszą połowę życia traci człowiek, który nie kochał	sawtacie
196	aphorisms	Nie ja omiku milerzu sem jematrzyca nosz jemęcia. [Bernardin	There is no sweeter friend than a mistress who loves us. [Be	Nie ma milszego przyjaciela nad kochankę nas kochającą. [Ber	sawtacie
197	aphorisms	Mizrabły je omórz, kwały pięza sięgłamięć dzie proprzej flic	Miserable is the love that thinks about one's own happiness 	Marna jest miłość, która myśli o własnym tylko szczęściu; ma	sawtacie
198	aphorisms	Sięgłamięć niejemaci odzę. [Charlie Chaplin]	Only unsweet people hate. [Charlie Chaplin]	Tylko niekochani nienawidzą. [Charlie Chaplin]	sawtacie
199	aphorisms	Omórz je omiczyca oposzonasta, siętmię wijolęci, worza wrzec	Love is a combination of friendship and passion, a violent f	Miłość jest znamiętnioną przyjaźnią, uczuciem gwałtownym, bu	sawtacie
200	aphorisms	Szy łu nie je rzej grędzia – szyniar pro jelkiju tut? [Bruno	Isn't that a great thing, to mean everything to a person? [B	Czy to nie jest wielka rzecz – znaczyć dla kogoś wszystko? [	sawtacie
201	aphorisms	En jemędu grędziu i sięcierzu dziewie sie łokar ileż omiczyc	In great and sincere loving there should be space for friend	W wielkim i szczerym kochaniu powinna się mieścić także przy	sawtacie
202	aphorisms	Łu że dzeczma noc sultarza en lece wiodu... Rzestarą jękóra 	Already the tenth lonely night in an empty bed... Another fo	To już dziesiąta samotna noc w pustym łóżku... Zostały jeszc	sawtacie
203	aphorisms	Kędy jekwa je kałma, pocie sie widziar tut. Przędź pocie sie	When water is quiet, you can see the bottom. Just like you c	Gdy woda jest spokojna, można zobaczyć dno. Tak samo można z	sawtacie
204	aphorisms	Kap sawiu dromięcy sur wywrzy jekunie łu grędzieśmy triumf o	The head of a wise man sleeping on the breasts of a woman; t	Głowa mędrca śpiąca na piersiach kobiety to największy trium	sawtacie
205	aphorisms	Mąd despora en okłór jekunie enjemaciej. Wyn sięgłamięć womi	The word disappears in the eyes of a woman in love. There is	Świat znika w oczach rozkochanej kobiety. Jeden tylko człowi	sawtacie
206	aphorisms	Nie lubie, komód dzierujesz, szczysz. Miecim czał je trzyści	I don't like it when you leave, you know. Even the sky is sa	Nie lubię, jak wyjeżdżasz, wiesz. Nawet niebo smutne jest. [	sawtacie
207	aphorisms	Kędy sie je szpuzata, że pociesz mędkar. [Margaret Mitchell]	Once you are a married woman, you can eat at will. [Margaret	Kiedy się jest zamężną, już wolno jeść. [Margaret Mitchell]	sawtacie
208	aphorisms	Ki jema, ił dzieszydra, kódsię łu bażew rzeszpędziar baża, k	Whoever loves also desires that his kisses be answered with 	Kto kocha, ten pragnie, aby na jego pocałunki odpowiadano po	sawtacie
209	aphorisms	Nił nie je prośmierzy jekunie enkętaciej ka jekuna enjemata.	Nothing comes closer to an enchanted woman than a woman in l	Nic nie jest bliższe kobiety zaczarowanej niż kobieta zakoch	sawtacie
210	aphorisms	Alleluja! Dziew seksu rzewienie! [Irl-Ania]	Hallelujah! The god of sex is returning! [Irl-Ania]	Alleluja! Bóg seksu powraca! [Irl-Ania]	sawtacie
211	aphorisms	Pocier jemar – o iłu fole finier szkoła zwiędu. [J. Lelouch]	To be able to love – for that one needs to finish the school	Umieć kochać – do tego trzeba ukończyć szkołę cierpienia. [J	sawtacie
212	aphorisms	Jekuna dzinia omorze pocie wśrewar swa dzieścinaceń en lej b	A woman worthy of loving can recognise her destination in th	Kobieta godna miłości może upatrywać swoje przeznaczenie w t	sawtacie
213	aphorisms	Ki jema, ił dzieruje. Uta łu sułacz mółt trzyści prze wijatk	One who loves also leaves. But that is a very cold comfort b	Kto kocha, ten odjeżdża. Ale to bardzo smutna pociecha przed	sawtacie
214	aphorisms	Jemar sie je łu szer pruny o enjemąd sie en parfiecenie. [Go	To love one another is the tendency to fall in love with per	Kochać się jest to być skłonnym do rozmiłowania się w doskon	sawtacie
215	aphorisms	Jekuna, kędy nie jema, sięcie sie nieofolata sur mędu. [Wład	When a woman does not love, she feels unneeded in the world.	Kobieta, gdy nie kocha, czuje się niepotrzebną na świecie. [	sawtacie
216	aphorisms	Omórz en ziścięce kostęć komięce sie dzie nowu. [Maria de Se	Love is essentially something which constantly starts from t	Miłość w istocie ciągle zaczyna się od nowa. [Maria de Sevig	sawtacie
217	aphorisms	Bona fiemnia je sawa en salonu, maga en kczynie i nimfa en k	A good woman is a sage in the drawing-room, a sorceress in t	Dobra żona jest mędrcem w salonie, czarodziejką w kuchni i n	sawtacie
218	aphorisms	I zanowu gwardu o le sule ściele, kód Ty, sień Ciej... Slaap	And again I'm watching the same star as you, without you... 	I znów patrzę na te same gwiazdy, co Ty, bez Ciebie... Slaap	sawtacie
219	aphorisms	Imitacenie omorze kostą karzu ka omórz wiory. [Jan Roś]	Imitations of love are more expensive than true love. [Janus	Imitacje miłości kosztują drożej niż miłość prawdziwa. [Janu	sawtacie
220	aphorisms	En omorze nił nie enwadzie en okąt forzy froce omorze, łu ma	Nothing comes into account except for the power of love, tha	W miłości nic nie wchodzi w rachubę prócz siły miłości, tego	sawtacie
221	aphorisms	Jemu twie linie, wita enczydszy en łar źryz. I twie okle tra	I love your lines, carved by life into a smile. And your eye	Kocham twoje linie, życie wyryło w nich uśmiech. I twoje ocz	sawtacie
222	aphorisms	Miecim, komód wątu, su flicza. Strań, wiortać? [Irl-Ania]	Even when I throw up, I'm happy. Strange, isn't it? [Irl-Ani	Nawet, jak rzygam, jestem szczęśliwa. Dziwne, prawda? [Irl-A	sawtacie
223	aphorisms	Omórz fryszcze kocionie sultydnie. [André Maurois]	Love smashes the chains of loneliness. [André Maurois]	Miłość rozbija okowy samotności. [André Maurois]	sawtacie
224	aphorisms	Fole wiwier komód janiół nowonosty, komód jekuna, kwała jema	One needs to live like a newborn angel, like a woman in love	Trzeba żyć jak nowo narodzony anioł, jak kobieta, która koch	sawtacie
225	aphorisms	Zmrzeżęć sie en Twór okłór, nie kłamu pro ożycie. [Irl-Ania]	Drowning in your eyes, I am not calling out for help. [Irl-A	Tonąc w Twoich oczach, nie zawołam o pomoc. [Irl-Ania]	sawtacie
226	aphorisms	Kośkiny moszkieł dzieśrewa nowa szansa... uta ku jałtrzej je	Every man deserves another chance... but with another woman.	Każdy mężczyzna zasługuje na kolejną szansę... ale u innej k	sawtacie
